,eps_values,Clusters,Noise_points,Homogenity,V_Measure,Silhouette
34,3.8999999999999995,23,182,0.041138666283408516,0.07902629614220888,0.43262800550215824
35,3.999999999999999,22,166,0.040675469937680134,0.07817128607848506,0.43612064862503774
36,4.1,19,152,0.03985513469247304,0.0766551673647499,0.4379253333075909
37,4.199999999999999,19,144,0.03967434090864112,0.07632070802856798,0.4380335395410477
38,4.299999999999999,14,134,0.02052428990337626,0.04022303066459988,0.6054219386030997
39,4.399999999999999,12,126,0.020137650569485903,0.03948026142990444,0.612187694247546
40,4.499999999999999,12,122,0.020045739769620284,0.039303609609011574,0.6121176730232579
41,4.599999999999999,11,118,0.01980026527717169,0.038831653513622444,0.6147058734319474
42,4.699999999999999,11,112,0.019594051167806905,0.038435004883295605,0.613002126070743
43,4.799999999999999,10,105,0.01927575209857464,0.037822448064496826,0.6129211394220834
44,4.899999999999999,8,102,0.018920164246869986,0.03713767753502992,0.6232159541601884
45,4.999999999999999,8,98,0.01877865951990141,0.03686504295005715,0.623039018062766
46,5.099999999999999,8,90,0.01849207628533201,0.03631265616277888,0.6226346226404765
47,5.199999999999999,7,86,0.01818736107764248,0.035724979061600416,0.6362402724953095
48,5.299999999999999,7,81,0.018003989743327124,0.03537115752928736,0.6360229799912565
49,5.399999999999999,7,76,0.017883028636394314,0.035137688974638454,0.6364923811845512
50,5.499999999999999,7,75,0.017845632899915215,0.03506549976359721,0.6364702833732071
51,5.599999999999999,7,69,0.017652163328131056,0.03469193888489638,0.6361713385312132
52,5.699999999999999,7,66,0.017600682363037422,0.03459251289447983,0.6372978821472546
53,5.799999999999999,8,63,0.01762607033180416,0.034641546331565694,0.6362395263727157
54,5.899999999999999,8,58,0.017474142050447998,0.034348080856843245,0.6360340614690596
55,5.999999999999999,8,56,0.017395321489650964,0.03419579611233333,0.6358891857884548
56,6.099999999999999,8,51,0.017332080161703647,0.03407359405976608,0.6365692956835115
57,6.199999999999998,8,48,0.01721081691634231,0.033839232989119436,0.636309151816663
58,6.299999999999999,9,44,0.01721946428049191,0.03385594728601016,0.6369108854563041
59,6.399999999999999,8,40,0.016976433646827542,0.0333860905428278,0.6380853930825248
60,6.499999999999998,8,39,0.016934397835167925,0.03330479895501141,0.6380392721049659
61,6.599999999999999,8,38,0.01689217833113478,0.03322314536602544,0.6379226597309419
62,6.699999999999998,8,38,0.01689217833113478,0.03322314536602544,0.6379226597309419
63,6.799999999999999,7,37,0.016646984749057465,0.032748800712110504,0.6385686098766258
64,6.899999999999999,8,33,0.01664772895668924,0.03275024078158042,0.6387390743182797
65,6.999999999999998,8,33,0.01664772895668924,0.03275024078158042,0.6387390743182797
66,7.099999999999999,8,31,0.016593513597325298,0.03264532652506776,0.6385922065724893
67,7.199999999999998,8,30,0.016582450661948845,0.03262391683262123,0.6386005117496556
68,7.299999999999999,8,30,0.016582450661948845,0.03262391683262123,0.6386005117496556
69,7.399999999999999,8,29,0.01653832538477054,0.032538518168531635,0.6385353058029782
70,7.499999999999998,8,29,0.01653832538477054,0.032538518168531635,0.6385353058029782
71,7.599999999999999,8,28,0.016525299278007128,0.03251330643663137,0.6395925208365577
72,7.699999999999998,8,27,0.016523276568697006,0.03250939147103801,0.6396536580150851
73,7.799999999999998,8,26,0.016478384588188524,0.03242249877229707,0.6395944640831558
74,7.899999999999999,7,25,0.01629222640665361,0.03206208998421391,0.6398056971382576
75,7.999999999999998,7,24,0.016246771773356965,0.03197406815867419,0.639683188693133
76,8.099999999999998,7,24,0.016246771773356965,0.03197406815867419,0.639683188693133
77,8.2,8,22,0.016295948731000365,0.032069297828744334,0.639527611522211
78,8.299999999999997,8,20,0.016234139875346294,0.031949605387863886,0.6403641291923317
79,8.399999999999999,8,20,0.016234139875346294,0.031949605387863886,0.6403641291923317
80,8.499999999999998,8,20,0.016234139875346294,0.031949605387863886,0.6403641291923317
81,8.599999999999998,8,19,0.016187053362380674,0.03185841289518621,0.6402505626629211
82,8.699999999999998,9,17,0.016232725356904853,0.0319468660118259,0.6403787931155361
83,8.799999999999999,9,17,0.016232725356904853,0.0319468660118259,0.6403787931155361
84,8.899999999999999,9,16,0.01618444466397835,0.0318533603795324,0.6402525123801901
85,8.999999999999998,7,16,0.009204084413281749,0.01824028371552361,0.6513772936762072
86,9.099999999999998,7,15,0.00918794048637856,0.018208581608595974,0.6525888657083663
87,9.199999999999998,7,14,0.009138647019925136,0.018111776903822607,0.6525075691204177
88,9.299999999999997,6,11,0.008878984262749686,0.017601683455103607,0.6537845153407631
89,9.399999999999999,6,9,0.00883696287893312,0.01751911003283414,0.653809522272849
90,9.499999999999998,6,9,0.00883696287893312,0.01751911003283414,0.653809522272849
91,9.599999999999998,4,9,0.0027279516789060192,0.005441060407937177,0.7943851591429483
92,9.699999999999998,4,8,0.0027173447097504693,0.005419961515749068,0.7951089414619842
93,9.799999999999997,4,8,0.0027173447097504693,0.005419961515749068,0.7951089414619842
94,9.899999999999999,4,7,0.0027056544402303275,0.0053967072555121546,0.7953604433863262
